station_id,peak_destinations,dark_from_hour,dark_from,half_reach_from,curve,station_name
HSG,43,23.5,23:30,21:21,"[43, 40, 33, 33, 30, 25, 15, 10, 0, 0, 0, 0]",Habsiguda
PRG,95,23.5,23:30,21:29,"[95, 88, 88, 90, 73, 63, 31, 6, 4, 0, 1, 2]",Parade Ground
TAR,59,23.555555555555557,23:33,21:14,"[59, 45, 43, 40, 37, 33, 18, 10, 1, 0, 1, 0]",Tarnaka
MET,47,23.571428571428573,23:34,21:24,"[47, 42, 42, 39, 36, 29, 15, 9, 2, 0, 0, 1]",Mettuguda
SCR,94,23.666666666666668,23:40,21:28,"[94, 83, 86, 88, 79, 65, 27, 7, 4, 1, 1, 0]",Secunderabad West
UPL,66,23.666666666666668,23:40,20:50,"[66, 52, 55, 49, 53, 29, 16, 11, 2, 0, 0, 0]",Uppal
LKP,75,23.75,23:45,21:18,"[75, 73, 70, 71, 62, 43, 25, 8, 4, 0, 0, 0]",Lakdi-ka-pul
SEC_E,130,23.8,23:48,21:29,"[130, 114, 122, 122, 106, 90, 39, 9, 4, 1, 1, 2]",Secunderabad East
SUB,65,24.2,00:12,21:36,"[65, 62, 65, 60, 61, 44, 25, 8, 6, 1, 0, 2]",Sultan Bazar
OMC,76,24.4,00:24,21:40,"[75, 72, 76, 65, 61, 46, 34, 11, 7, 2, 0, 2]",Osmania Medical College
