station_id,station_name,radius_m,band,n_routes,n_destinations,n_departures,departures_per_hour,retention,grade,best_headway_min,expected_wait_min,nearest_bus_stop_m,usable
AME,Ameerpet,300,evening_peak,60,42,817,204.25,1.0,maintained,2.0338983050847457,0.1468788249694002,66.77478636827894,True
AME,Ameerpet,300,late_night,6,4,15,3.0,0.014687882496940025,collapsed,50.0,10.0,216.08493205835055,True
AME,Ameerpet,300,midday,68,46,999,166.5,0.8151774785801713,maintained,3.0,0.1801801801801802,66.77478636827894,True
AME,Ameerpet,300,morning_peak,58,37,518,172.66666666666666,0.8453692370461036,maintained,2.5,0.17374517374517376,66.77478636827894,True
AME,Ameerpet,300,night,39,27,366,122.0,0.5973072215422277,maintained,2.857142857142857,0.24590163934426237,66.77478636827894,True
AME,Ameerpet,500,evening_peak,61,45,822,205.5,1.0,maintained,2.0338983050847457,0.14598540145985398,66.77478636827894,True
AME,Ameerpet,500,late_night,7,5,17,3.4,0.01654501216545012,collapsed,50.0,8.823529411764705,216.08493205835055,True
AME,Ameerpet,500,midday,70,54,1022,170.33333333333334,0.8288726682887267,maintained,3.0,0.17612524461839532,66.77478636827894,True
AME,Ameerpet,500,morning_peak,60,44,526,175.33333333333334,0.8532035685320357,maintained,2.5,0.1711026615969582,66.77478636827894,True
AME,Ameerpet,500,night,39,32,373,124.33333333333333,0.6050283860502839,maintained,2.8125,0.2412868632707775,66.77478636827894,True
AME,Ameerpet,800,evening_peak,81,84,921,230.25,1.0,maintained,2.0168067226890756,0.13029315960912052,66.77478636827894,True
AME,Ameerpet,800,late_night,11,8,23,4.6,0.01997828447339848,collapsed,50.0,6.521739130434784,216.08493205835055,True
AME,Ameerpet,800,midday,88,87,1124,187.33333333333334,0.813608396670286,maintained,2.8346456692913384,0.1601423487544484,66.77478636827894,True
AME,Ameerpet,800,morning_peak,79,75,622,207.33333333333334,0.9004705030763663,maintained,2.5,0.1446945337620579,66.77478636827894,True
AME,Ameerpet,800,night,50,46,432,144.0,0.6254071661237784,maintained,2.608695652173913,0.20833333333333331,66.77478636827894,True
ASM,Assembly,300,evening_peak,80,61,832,208.0,1.0,maintained,3.116883116883117,0.14423076923076922,189.75387562611465,True
ASM,Assembly,300,late_night,8,7,16,3.2,0.015384615384615385,collapsed,75.0,9.375,189.75387562611465,True
